program_name,url,calendar_type
Bachelor of Science in Business Administration in Accounting,https://catalog.drexel.edu/undergraduate/collegeofbusiness/accounting/,Quarter
Bachelor of Science in Animation & Visual Effects,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/animationandvisualeffects/,Quarter
Bachelor of Science in Architectural Engineering in Architectural Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/architecturalengineering/,Quarter
Bachelor of Science in Architectural Studies,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/architecturalstudiesbs/,Quarter
Bachelor of Architecture in Architecture,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/architecture/,Quarter
Bachelor of Arts in Art History,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/arthistory/,Quarter
Bachelor of Science in Art History,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/arthistorybs/,Quarter
"Bachelor of Science in Behavioral Economics, Business and Organizations",https://catalog.drexel.edu/undergraduate/schoolofeconomics/behavioraleconomicsbusinessandorganizations/,Quarter
Bachelor of Science in Behavioral Health Counseling,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/behavorialhealthcounseling/,Quarter
Bachelor of Science in Biological Sciences,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/biologicalsciences/,Quarter
Bachelor of Science in Biomedical Engineering in Biomedical Engineering,https://catalog.drexel.edu/undergraduate/schoolofbioengscienceandhealthsystems/biomedicalengineering/,Quarter
Bachelor of Science in Business Administration in Business (General),https://catalog.drexel.edu/undergraduate/collegeofbusiness/generalbusiness/,Quarter
Bachelor of Science in Business and Engineering in Business and Engineering,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessandengineering/,ter
Bachelor of Science in Business Administration in Business Analytics (co-major),https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessanalytics/,Quarter
Bachelor of Science in Business Administration in Business Administration,https://catalog.drexel.edu/undergraduate/collegeofbusiness/generalbusiness/,Quarter
Bachelor of Science in Business Administration in Business Economics (co-major),https://catalog.drexel.edu/undergraduate/schoolofeconomics/businesseconomics/index.html,Quarter
Bachelor of Science in Chemical Engineering in Chemical Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/chemicalengineering/,Quarter
Bachelor of Arts in Chemistry,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistry/,Quarter
Bachelor of Science in Chemistry,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistrybs/,Quarter
Bachelor of Science in Chemistry-Biochemistry Concentration,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistrybs/#biochemistryconcentrationrequirementstext,Quarter
Bachelor of Science in Civil Engineering in Civil Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/civilengineering/,Quarter
Bachelor of Arts in Communication,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/communication/,Quarter
Bachelor of Science in Computer Engineering in Computer Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/computerengineering/,Quarter
Bachelor of Arts in Computer Science in Computer Science,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/computerscienceba/,Quarter
Bachelor of Science in Computer Science in Computer Science,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/computerscience/,Quarter
Bachelor of Science in Computing and Security Technology in Computing and Security Technology,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/computingandsecuritytechnology/,Quarter
Bachelor of Science in Construction Management in Construction Management,https://catalog.drexel.edu/undergraduate/collegeofengineering/constructionmanagement/,Quarter
Bachelor of Science in Custom-Designed Major,https://catalog.drexel.edu/undergraduate/honorscollege/custom-designedmajor/,Quarter
Bachelor of Science in Dance,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/dance/,Quarter
Bachelor of Science in Dance - Part-time Professional,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/dance_parttimeprofessional/index.html,Quarter
Bachelor of Science in Data Science in Data Science,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/datascience,Quarter
Bachelor of Science in Design and Merchandising,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/designandmerchandising/,Quarter
Bachelor of Science in Digital Media and Virtual Production,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/digitalmediaandvirtualproduction/,Quarter
Bachelor of Arts in Economics in Economic Analysis,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economics/,Quarter
Bachelor of Science in Economics in Economics,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsbs/,Quarter
Bachelor of Science in Economics and Business,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsandbusiness/,Quarter
Bachelor of Science in Economics and Data Science,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsanddatascience/,Quarter
Bachelor of Science in Economics and Mathematics,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsandmathematics/,Quarter
Bachelor of Science in Economics and Public Health,https://catalog.drexel.edu/undergraduate/schoolofeconomics/economicsandpublichealth/,Quarter
Bachelor of Science in Education: Non-Certification,https://catalog.drexel.edu/undergraduate/schoolofeducation/education-noncertification/index.html,Quarter
Bachelor of Science in Electrical Engineering in Electrical Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/electricalengineering/,Quarter
Bachelor of Science in Engineering in Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineering/,Quarter
Bachelor of Science in Engineering Technology in Engineering Technology,https://catalog.drexel.edu/undergraduate/collegeofengineering/engineeringtechnology,Quarter
"Bachelor of Arts in English, Literary Studies Concentration",https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/english-literaryconcentration/index.html,Quarter
"Bachelor of Arts in English, Writing Concentration",https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/english-writingconcentration/,Quarter
"Bachelor of Arts in English, Secondary Education Concentration",https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/english-secondaryeducation-concentration/,Quarter
Bachelor of Science in Entertainment and Arts Management,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/entertainmentartmgmt/,Quarter
Bachelor of Arts in Entrepreneurship and Innovation,https://catalog.drexel.edu/undergraduate/schoolofentrepreneurship/entrepreneurshipandinnovation/index.html,Quarter
