"reg_code, crn, student_id"
1,13452,kjj26
2,10746,kjj26
3,11564,kjj26
4,11322,kjj26
5,10780,kjj26
6,22208,kjj26
7,25313,kjj26
8,25084,kjj26
9,24093,kjj26
10,34706,kjj26
11,30528,kjj26
12,34556,kjj26
13,31842,kjj26
14,41337,kjj26
15,40646,kjj26
16,40111,kjj26
17,41408,kjj26
18,10300,kjj26
19,12236,kjj26
20,10194,kjj26
21,11195,kjj26
22,16375,kjj26
23,15680,kjj26
24,10552,kjj26
25,15443,eit15
26,11096,eit15
27,10511,eit15
28,11719,eit15
29,12515,eit15
30,23018,eit15
31,20908,eit15
32,26243,eit15
33,24199,eit15
34,25520,eit15
35,20063,eit15
36,30927,eit15
37,34185,eit15
38,32220,eit15
39,31952,eit15
40,34556,eit15
41,40776,eit15
42,41320,eit15
43,41313,eit15
44,42161,eit15
45,40164,eit15
46,15686,eit15
47,15380,eit15
48,14197,eit15
49,11875,eit15
50,10822,dna98
51,10783,dna98
52,10198,dna98
53,10327,dna98
54,24277,dna98
55,22130,dna98
56,30510,dna98
57,34185,dna98
58,31215,dna98
59,32218,dna98
60,32227,dna98
61,31326,dna98
62,40680,dna98
63,41057,dna98
64,41196,dna98
65,40445,dna98
66,11224,dna98
67,10493,dna98
68,12049,dna98
69,13203,egm14
70,10265,egm14
71,20003,egm14
72,20097,egm14
73,20686,egm14
74,20788,egm14
75,20332,egm14
76,31750,egm14
77,34635,egm14
78,31356,egm14
79,32631,egm14
80,34835,egm14
81,41739,egm14
82,40725,egm14
83,10492,egm14
84,11559,egm14
85,11962,egm14
86,12829,egm14
87,15178,egm14
88,15060,egm14
89,10319,lag91
90,10910,lag91
91,11388,lag91
92,13627,lag91
93,11641,lag91
94,12205,lag91
95,20519,lag91
96,22319,lag91
97,25328,lag91
98,30114,lag91
99,32767,lag91
100,34411,lag91
101,41198,lag91
102,40192,lag91
103,41393,lag91
104,12182,lag91
105,15237,lag91
106,13337,lag91
107,11237,lag91
108,15388,trt16
109,15385,trt16
110,10503,trt16
111,14899,trt16
112,16086,trt16
113,15402,trt16
114,16069,trt16
115,21091,trt16
116,21857,trt16
117,22765,trt16
118,21553,trt16
119,21254,trt16
120,34477,trt16
121,34555,trt16
122,30444,trt16
123,34197,trt16
124,30545,trt16
125,40034,trt16
126,40722,trt16
127,40198,trt16
128,42143,trt16
129,10091,trt16
130,11536,trt16
131,11342,trt16
132,10748,trt16
133,11313,trt16
134,10398,lbd14
135,13999,lbd14
136,21075,lbd14
137,22454,lbd14
138,32991,lbd14
139,34677,lbd14
140,30229,lbd14
141,31421,lbd14
142,40355,lbd14
143,42165,lbd14
144,40173,lbd14
145,41277,lbd14
146,15818,lbd14
147,15799,lbd14
148,15368,kls18
149,12007,kls18
150,13200,kls18
151,11288,kls18
152,10330,kls18
153,21575,kls18
154,23665,kls18
155,31591,kls18
156,30488,kls18
157,33912,kls18
158,30166,kls18
159,41220,kls18
160,40498,kls18
161,42024,kls18
162,40044,kls18
163,11240,kls18
164,11802,kls18
165,11841,kls18
166,10842,kls18
167,13502,lmh234
168,12653,lmh234
169,12638,lmh234
170,22537,lmh234
171,22982,lmh234
172,20253,lmh234
173,23932,lmh234
174,25699,lmh234
175,30363,lmh234
176,31390,lmh234
177,30621,lmh234
178,34420,lmh234
179,34652,lmh234
180,40838,lmh234
181,40189,lmh234
182,42101,lmh234
183,40361,lmh234
184,40590,lmh234
185,11223,lmh234
186,14297,lmh234
187,10626,lmh234
188,10414,lmh234
189,10399,lmh234
190,10018,lmh234
191,10987,lms44
192,11655,lms44
193,21467,lms44
194,21125,lms44
195,21128,lms44
196,24270,lms44
197,21081,lms44
198,20201,lms44
199,22887,lms44
200,31264,lms44
201,33774,lms44
202,34683,lms44
203,34011,lms44
204,40361,lms44
205,40411,lms44
206,41994,lms44
207,40743,lms44
208,16051,lms44
209,15157,lms44
210,15342,lms44
211,14217,lms44
212,11761,lms44
213,10235,tdf339
214,13873,tdf339
215,11265,tdf339
216,10085,tdf339
217,14938,tdf339
218,24255,tdf339
219,21074,tdf339
220,25415,tdf339
221,22366,tdf339
222,30688,tdf339
223,30517,tdf339
224,33195,tdf339
225,41175,tdf339
226,40208,tdf339
227,40033,tdf339
228,40136,tdf339
229,12700,tdf339
230,12029,tdf339
231,12362,tdf339
232,10280,tdf339
233,12328,tdf339
234,11871,jrk48
235,12526,jrk48
236,11665,jrk48
237,22924,jrk48
238,22970,jrk48
239,23611,jrk48
240,23025,jrk48
241,31381,jrk48
242,30531,jrk48
243,32897,jrk48
244,42156,jrk48
245,41222,jrk48
246,41020,jrk48
247,40172,jrk48
