program_name,course_code,requirement_category
Bachelor of Science in Computer Science,CS 164,Computer Science Requirements
Bachelor of Science in Computer Science,"CS 171, CS 175",Computer Science Requirements
Bachelor of Science in Computer Science,"CS 172, CS 176",Computer Science Requirements
Bachelor of Science in Computer Science,CS 260,Computer Science Requirements
Bachelor of Science in Computer Science,CS 265,Computer Science Requirements
Bachelor of Science in Computer Science,CS 270,Computer Science Requirements
Bachelor of Science in Computer Science,CS 277,Computer Science Requirements
Bachelor of Science in Computer Science,CS 281,Computer Science Requirements
Bachelor of Science in Computer Science,CS 283,Computer Science Requirements
Bachelor of Science in Computer Science,CS 360,Computer Science Requirements
Bachelor of Science in Computer Science,SE 181,Computer Science Requirements
Bachelor of Science in Computer Science,SE 310,Computer Science Requirements
Bachelor of Science in Computer Science,CI 101,Computing & Informatics Requirements
Bachelor of Science in Computer Science,CI 102,Computing & Informatics Requirements
Bachelor of Science in Computer Science,CI 103,Computing & Informatics Requirements
Bachelor of Science in Computer Science,CI 491,Computing & Informatics Requirements
Bachelor of Science in Computer Science,CI 492,Computing & Informatics Requirements
Bachelor of Science in Computer Science,CI 493,Computing & Informatics Requirements
Bachelor of Science in Computer Science,MATH 121,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 122,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 123,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 200,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 201,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 221,Mathematics Requirements
Bachelor of Science in Computer Science,MATH 311,Mathematics Requirements
Bachelor of Science in Computer Science,"BIO 131, BIO 134, BIO 132, BIO 135, BIO 133, BIO 136",Science Requirements
Bachelor of Science in Computer Science,"CHEM 101, CHEM 102, CHEM 103",Science Requirements
Bachelor of Science in Computer Science,"PHYS 101, PHYS 102, PHYS 201",Science Requirements
Bachelor of Science in Computer Science,COM 230,Arts & Humanities Requirements
Bachelor of Science in Computer Science,"ENGL 101, ENGL 111",Arts & Humanities Requirements
Bachelor of Science in Computer Science,"ENGL 102, ENGL 112",Arts & Humanities Requirements
Bachelor of Science in Computer Science,"ENGL 103, ENGL 113",Arts & Humanities Requirements
Bachelor of Science in Computer Science,PHIL 311,Arts & Humanities Requirements
Bachelor of Science in Computer Science,"UNIV CI101, CI 120",University Requirements
Bachelor of Science in Computer Science,CIVC 101,University Requirements
Bachelor of Science in Computer Science,COOP 101,University Requirements
Bachelor of Science in Software Engineering,CS 164,Software Engineering Requirements
Bachelor of Science in Software Engineering,"CS 171, CS 175",Software Engineering Requirements
Bachelor of Science in Software Engineering,"CS 172, CS 176",Software Engineering Requirements
Bachelor of Science in Software Engineering,SE 181,Software Engineering Requirements
