address,url,is_affiliated_housing
"3301 Arch Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"115 N. 32nd Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"223 N. 34th Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"3200 Race Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"3300 Race Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"101 N 34th Street Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"3320 Powelton Avenue Philadelphia, PA 19104",https://drexel.edu/studentlife/campus-living/housing/options,False
"325 N. 15th Street Philadelphia, PA 19102",https://drexel.edu/studentlife/campus-living/housing/options,False
"3200 Chestnut Street Philadelphia, PA 19104",https://www.americancampus.com/student-apartments/pa/philadelphia/chestnut-square,True
"3400 Lancaster Avenue Philadelphia, PA 19104",https://www.americancampus.com/student-apartments/pa/philadelphia/the-summit-at-university-city#amenities,True
"3175 John F Kennedy Boulevard Philadelphia, PA 19104",https://www.americancampus.com/student-apartments/pa/philadelphia/university-crossings,True
